Price,Square_Feet,Remodeled
554000,2702,No 
484000,2378,No 
391000,1846,No 
354000,1820,No 
410000,1794,No 
349000,1768,No 
409000,1752,No 
393000,1719,No 
321000,1676,No 
408000,1668,No 
323000,1646,No 
376900,1640,No 
364000,1594,No 
342500,1586,No 
304000,1480,No 
356500,1475,No 
322000,1428,No 
316000,1426,No 
305000,1404,No 
314000,1208,No 
287000,1320,No 
384000,1320,No 
336000,1310,No 
281325,1134,No 
258500,1118,No 
313000,1064,No 
286000,1056,No 
274000,979,No 
269600,912,No 
630000,2709,Yes
512900,2288,Yes
493000,2208,Yes
570000,2186,Yes
484000,2004,Yes
500980,1983,Yes
470980,1983,Yes
460000,1944,Yes
542355,1850,Yes
450000,1816,Yes
434900,1792,Yes
473000,1703,Yes
435600,1700,Yes
417500,1598,Yes
414000,1574,Yes
453000,1560,Yes
510000,1558,Yes
397500,1480,Yes
469500,1463,Yes
464000,1362,Yes
444900,1328,Yes
397000,1310,Yes
455000,1304,Yes
372000,1300,Yes
376000,1272,Yes
445000,1160,Yes
385000,1002,Yes
303000,720,Yes
